Skirmish,Monster,Monster Page
The Siege of Gondamon,Thrastar,Thrastar
The Siege of Gondamon,Hergill,Hergill
The Siege of Gondamon,Agi Gatebreaker,Agi_Gatebreaker
The Siege of Gondamon,Ghashnâkh,Ghashnâkh
The Siege of Gondamon,Sigurmar,Sigurmar
The Siege of Gondamon,Ingithor Blackhand,Ingithor_Blackhand
Trouble in Tuckborough,Ghâshfog,Ghâshfog
Trouble in Tuckborough,Murbarash,Murbarash
Trouble in Tuckborough,Fíthrokh,Fíthrokh
Trouble in Tuckborough,Oldroot,Oldroot
Trouble in Tuckborough,Big Fright,Big_Fright
Trouble in Tuckborough,Filzof,Filzof
Storm on Methedras,Rhodri,Rhodri_(Storm_on_Methedras)
Storm on Methedras,Budant,Budant
Storm on Methedras,Maru Brenin,Maru_Brenin
Storm on Methedras,Garzog,Garzog
Storm on Methedras,Caur,Caur
Storm on Methedras,Helechúl,Helechúl
Storm on Methedras,Núrvor,Núrvor
Storm on Methedras,Dombor,Dombor
Storm on Methedras,Daeharn,Daeharn
Storm on Methedras,Gwyllion,Gwyllion
Storm on Methedras,Echrud,Echrud
Stand at Amon Sûl,Golnauk,Golnauk
Stand at Amon Sûl,Bloodwing,Bloodwing_(Skirmish)
Stand at Amon Sûl,Gúgaw's Arm,G%C3%BAgaw%27s_Arm
Stand at Amon Sûl,Laimbenn,Laimbenn
Stand at Amon Sûl,Mokum,Mokum
Stand at Amon Sûl,Gwandir,Gwandir
Stand at Amon Sûl,Norgol,Norgol
Stand at Amon Sûl,Gwathrengor,Gwathrengor
Stand at Amon Sûl,Urkflagít,Urkflagít
Stand at Amon Sûl,Narudúr,Narudúr
Attack at Dawn,Tharb,Tharb
Attack at Dawn,Pugh,Pugh
Attack at Dawn,Fríb,Fríb
Attack at Dawn,Zímarp,Zímarp
Attack at Dawn,Krampum,Krampum
Attack at Dawn,Kaushar,Kaushar
Attack at Dawn,Graug,Graug
Thievery and Mischief,Reginald Cutweed,Reginald_Cutweed
Thievery and Mischief,Lordfisher,Lordfisher
Thievery and Mischief,Padfoot,Padfoot
Thievery and Mischief,Goretusk,Goretusk
Thievery and Mischief,Ned Ashleaf,Ned_Ashleaf
Thievery and Mischief,Tom Greythistle,Tom_Greythistle
Thievery and Mischief,Túkar,Túkar
Thievery and Mischief,Snagbúrz,Snagbúrz
Thievery and Mischief,Gruglup,Gruglup
Thievery and Mischief,Bálak,Bálak
Defence of the Prancing Pony,Goilag,Goilag
Defence of the Prancing Pony,Dríthlorz,Dríthlorz
Defence of the Prancing Pony,Bill Ferny,Bill_Ferny
Defence of the Prancing Pony,Harry Goatleaf,Harry_Goatleaf
Defence of the Prancing Pony,Southpaw,Southpaw
Defence of the Prancing Pony,Old Hunter,Old_Hunter
Defence of the Prancing Pony,Ufglup,Ufglup
Defence of the Prancing Pony,Rat-catcher,Rat-catcher
Defence of the Prancing Pony,Mukghashan,Mukghashan
Defence of the Prancing Pony,Kamhont,Kamhont
Defence of the Prancing Pony,Banosnákh,Banosnákh
Defence of the Prancing Pony,Willie Hawthorn,Willie_Hawthorn
Defence of the Prancing Pony,Goilag,Goilag
The Ford of Bruinen,Zanúrz,Zanúrz
The Ford of Bruinen,Kunquin,Kunquin
The Ford of Bruinen,Durkúf,Durkúf
The Ford of Bruinen,Bruidagnir,Bruidagnir
The Ford of Bruinen,Níngrat,Níngrat
The Icy Crevasse,Míthalagos,Míthalagos
The Icy Crevasse,Kókas-joku,Kókas-joku
The Icy Crevasse,Lapa-kita,Lapa-kita
The Icy Crevasse,Coflúg,Coflúg
The Icy Crevasse,Crantok,Crantok
The Icy Crevasse,Túgarch,Túgarch
The Icy Crevasse,Veri-torvi,Veri-torvi
The Icy Crevasse,Mahti,Mahti
The Icy Crevasse,Guinokh,Guinokh
The Icy Crevasse,Malgen,Malgen_(Skirmish_-_Icy_Crevasse)
The Battle of the Deep-way,Lhenathronil,Lhenathronil
The Battle of the Deep-way,Gamurz-ash,Gamurz-ash
The Battle of the Deep-way,Earthbreaker,Earthbreaker
The Battle of the Deep-way,Forktongue,Forktongue
The Battle of the Deep-way,Foulscum,Foulscum
The Battle of the Deep-way,Gorged Queen,Gorged_Queen
The Battle of the Deep-way,Burntail,Burntail
The Battle of the Deep-way,Mad Croaker,Mad_Croaker
The Battle of the Deep-way,Gukhmûl,Gukhmûl
Battle of the Way of Smiths,Fire-heart,Fire-heart
Battle of the Way of Smiths,Ice-heart,Ice-heart
Battle of the Way of Smiths,Shadow-heart,Shadow-heart
Battle of the Way of Smiths,Celebarch,Celebarch
Battle of the Way of Smiths,Fikûhom,Fikûhom
Battle of the Way of Smiths,Durbrennil,Durbrennil
Battle of the Way of Smiths,Sadâuk,Sadâuk
Battle of the Way of Smiths,Harna,Harna
Battle of the Twenty-first Hall,Swangeir Goldstealer,Swangeir_Goldstealer
Battle of the Twenty-first Hall,Morûrz-kala,Morûrz-kala
Battle of the Twenty-first Hall,Kalus,Kalus
Battle of the Twenty-first Hall,Throqûm,Throqûm
Battle of the Twenty-first Hall,Fodhroval,Fodhroval
Battle of the Twenty-first Hall,Shadow from the Heart of the World,Shadow_from_the_Heart_of_the_World
Battle of the Twenty-first Hall,Helchnaeth,Helchnaeth
Battle of the Twenty-first Hall,Motsham,Motsham
Strike Against Dannenglor,Helchfaer,Helchfaer
Strike Against Dannenglor,Ghostfang,Ghostfang
Strike Against Dannenglor,Ruingalad,Ruingalad
Strike Against Dannenglor,Swartclaw,Swartclaw
Strike Against Dannenglor,Rimdeloth,Rimdeloth
Strike Against Dannenglor,Gorogmúl,Gorogmúl
Strike Against Dannenglor,Gothling,Gothling
Strike Against Dannenglor,Fiklúk,Fiklúk
Strike Against Dannenglor,Seregruin,Seregruin
Strike Against Dannenglor,Authdurgul,Authdurgul
Protectors of Thangúlhad,Borndol,Borndol
Protectors of Thangúlhad,Ruithroval,Ruithroval
Protectors of Thangúlhad,Azrí,Azrí
Protectors of Thangúlhad,Hokarul,Hokarul
Protectors of Thangúlhad,Grudom,Grudom
Protectors of Thangúlhad,Frúzglob,Frúzglob
Protectors of Thangúlhad,Golugthrug,Golugthrug
Protectors of Thangúlhad,Lapus,Lapus
Protectors of Thangúlhad,Torúglup,Torúglup
Protectors of Thangúlhad,Mazaukal,Mazaukal
Breaching the Necromancer's Gate,Lavalúg,Lavalúg
Breaching the Necromancer's Gate,Gortag,Gortag
Breaching the Necromancer's Gate,Firingúl,Firingúl
Breaching the Necromancer's Gate,Murúk,Murúk
Breaching the Necromancer's Gate,Annoniel,Annoniel
Breaching the Necromancer's Gate,Thrângund,Thrângund
Breaching the Necromancer's Gate,Morgúr,Morgúr
Breaching the Necromancer's Gate,Agardúr,Agardúr
Breaching the Necromancer's Gate,Grishglok,Grishglok
Breaching the Necromancer's Gate,Doraz,Doraz
Assault on the Ringwraiths' Lair,Faelathron,Faelathron
Assault on the Ringwraiths' Lair,Mazaukgrat,Mazaukgrat
Assault on the Ringwraiths' Lair,Kúfit,Kúfit
Assault on the Ringwraiths' Lair,Durnákh,Durnákh
Assault on the Ringwraiths' Lair,Gúlheryn,Gúlheryn
Assault on the Ringwraiths' Lair,Afglu,Afglu
Assault on the Ringwraiths' Lair,Zánurz,Zánurz
Assault on the Ringwraiths' Lair,Norchador,Norchador
Assault on the Ringwraiths' Lair,Mornákh,Mornákh
Assault on the Ringwraiths' Lair,Uluithiad,Uluithiad
The Battle in the Tower,Thangaran,Thangaran
The Battle in the Tower,Iaerien,Iaerien
The Battle in the Tower,Hogaward,Hogaward
The Battle in the Tower,Múdku,Múdku
The Battle in the Tower,Blord,Blord
The Battle in the Tower,Gundnákh,Gundnákh
The Battle in the Tower,Gadhumúrz,Gadhumúrz
The Battle in the Tower,Urbor,Urbor
The Battle in the Tower,Mazog,Mazog_(Skirmish)
Rescue in Nûrz Ghâshu,Cefrog,Cefrog
Rescue in Nûrz Ghâshu,Gháshglob,Gháshglob
Rescue in Nûrz Ghâshu,Gormalith,Gormalith
Rescue in Nûrz Ghâshu,Lúgryn,Lúgryn
Rescue in Nûrz Ghâshu,Morfuin,Morfuin
Rescue in Nûrz Ghâshu,Narubras,Narubras
Rescue in Nûrz Ghâshu,Nurnor,Nurnor
Rescue in Nûrz Ghâshu,Snagtalún,Snagtalún
Rescue in Nûrz Ghâshu,Erebún,Erebún